,title,handle,created,product_type,price,sku,available,image
28,Hollis Tan,hollis-tan,2020-02-28T14:01:04-06:00,Boots,350.00,HBB506015,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-tan-15038742233150.jpg?v=1590594155
29,Hollis Tan,hollis-tan,2020-02-28T14:01:04-06:00,Boots,350.00,HBB506016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-tan-15038742233150.jpg?v=1590594155
30,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305006,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
31,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305007,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
32,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305007E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
33,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305075,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
34,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305008,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
35,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305008E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
36,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305085,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
37,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305085E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
38,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305009,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
39,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305009E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
40,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305095,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
41,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305095E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
42,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305010,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
43,Bradley Tan,bradley-tan,2020-02-28T11:50:09-06:00,Shoes,285.00,HBB305010E,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-shoes-bradley-tan-15038715822142.jpg?v=1590594039
